tid:[140416588412736]	[MainConfig.cpp]	[9]	[MainConfig] :	[12:42:40]instructure of main config
tid:[140416588412736]	[main.cpp]	[8]	[main] :	[12:42:40]***********************wanjun server start***********************
tid:[140416588412736]	[MainServer.cpp]	[18]	[MainServer] :	[12:42:40]main server structure ...
tid:[140416588412736]	[MyTransport.cpp]	[17]	[MyTransport] :	[12:42:40]transport structure ...
tid:[140416565495552]	[IOThread.cpp]	[95]	[operator()] :	[12:42:40]start iothread event base loop
tid:[140416557102848]	[IOThread.cpp]	[95]	[operator()] :	[12:42:40]start iothread event base loop
tid:[140416523532032]	[IOThread.cpp]	[95]	[operator()] :	[12:42:40]start iothread event base loop
tid:[140416506746624]	[IOThread.cpp]	[95]	[operator()] :	[12:42:40]start iothread event base loop
tid:[140416588412736]	[MainServer.cpp]	[71]	[serve] :	[12:42:40]serve() ... start 
tid:[140416489961216]	[IOThread.cpp]	[95]	[operator()] :	[12:42:40]start iothread event base loop
tid:[140416548710144]	[IOThread.cpp]	[95]	[operator()] :	[12:42:40]start iothread event base loop
tid:[140416540317440]	[IOThread.cpp]	[95]	[operator()] :	[12:42:40]start iothread event base loop
tid:[140416515139328]	[IOThread.cpp]	[95]	[operator()] :	[12:42:40]start iothread event base loop
tid:[140416498353920]	[IOThread.cpp]	[95]	[operator()] :	[12:42:40]start iothread event base loop
tid:[140416531924736]	[IOThread.cpp]	[95]	[operator()] :	[12:42:40]start iothread event base loop
tid:[140416588412736]	[MyTransport.cpp]	[49]	[listen] :	[12:42:40]new listener ...
tid:[140416588412736]	[MainServer.cpp]	[164]	[stdin_cb] :	[12:42:45]you have input cmd : [] 
tid:[140416588412736]	[MainServer.cpp]	[183]	[stdin_cb] :	[12:42:45]cmd error...
tid:[140416588412736]	[MainServer.cpp]	[164]	[stdin_cb] :	[12:42:46]you have input cmd : [] 
tid:[140416588412736]	[MainServer.cpp]	[183]	[stdin_cb] :	[12:42:46]cmd error...
tid:[140416588412736]	[MainServer.cpp]	[164]	[stdin_cb] :	[12:42:49]you have input cmd : [size] 
tid:[140416588412736]	[MainServer.cpp]	[171]	[stdin_cb] :	[12:42:49]connection vector size 0 
tid:[140416588412736]	[MainServer.cpp]	[172]	[stdin_cb] :	[12:42:49]connection queue size 0 
tid:[140416588412736]	[MainServer.cpp]	[173]	[stdin_cb] :	[12:42:49]transport activeSokcet size = 0
tid:[140416588412736]	[MainServer.cpp]	[174]	[stdin_cb] :	[12:42:49]transport socketqueue size = 0


tid:[140416588412736]	[MainServer.cpp]	[164]	[stdin_cb] :	[12:43:22]you have input cmd : [over] 
tid:[140416588412736]	[MainServer.cpp]	[80]	[serve] :	[12:43:22]serve() ... end 
tid:[140416588412736]	[main.cpp]	[11]	[main] :	[12:43:22]************************wanjun server end************************
tid:[140416588412736]	[MainServer.cpp]	[36]	[~MainServer] :	[12:43:22]main server destructure ...
tid:[140416588412736]	[MyTransport.cpp]	[22]	[~MyTransport] :	[12:43:22]transport destructure ...
tid:[140416588412736]	[MyTransport.cpp]	[33]	[~MyTransport] :	[12:43:22]transport size = [0]
tid:[140416588412736]	[MainServer.cpp]	[52]	[~MainServer] :	[12:43:22]Main server vector sockets size = [0]
tid:[140416588412736]	[MainServer.cpp]	[58]	[~MainServer] :	[12:43:22]Main server connection queue size = [0] 
tid:[140416588412736]	[IOThread.cpp]	[60]	[~IOThread] :	[12:43:22]iothread 析构函数
tid:[140416588412736]	[IOThread.cpp]	[60]	[~IOThread] :	[12:43:22]iothread 析构函数
tid:[140416588412736]	[IOThread.cpp]	[60]	[~IOThread] :	[12:43:22]iothread 析构函数
tid:[140416588412736]	[IOThread.cpp]	[60]	[~IOThread] :	[12:43:22]iothread 析构函数
tid:[140416588412736]	[IOThread.cpp]	[60]	[~IOThread] :	[12:43:22]iothread 析构函数
tid:[140416588412736]	[IOThread.cpp]	[60]	[~IOThread] :	[12:43:22]iothread 析构函数
tid:[140416588412736]	[IOThread.cpp]	[60]	[~IOThread] :	[12:43:22]iothread 析构函数
tid:[140416588412736]	[IOThread.cpp]	[60]	[~IOThread] :	[12:43:22]iothread 析构函数
tid:[140416588412736]	[IOThread.cpp]	[60]	[~IOThread] :	[12:43:22]iothread 析构函数
tid:[140416588412736]	[IOThread.cpp]	[60]	[~IOThread] :	[12:43:22]iothread 析构函数
tid:[140416588412736]	[MainConfig.cpp]	[14]	[~MainConfig] :	[12:43:22]destructure of main config
